"Инспектор, сменивший статус","Код НО инспектора, сменившего стат",Score,Experience,Qualification,p_SCHEMA,p_RISK_LONG,p_RISK_SHORT,p_TASK
11384-wxzq-hdbqic-ubcqzzie,4727,0.5,0.09242722776276352,0.5924272277627636,0.0,0.0,0.5,0.5
11395-fiuc-jigqxs-fwmkkjrw,1300,0.5166666666666666,0.4847923138822793,1.001458980548946,0.5,0.5,0.0,0.0
11407-ohfg-kkcqpi-uteeozqb,6439,0.14333333333333334,0.3875664116805573,0.5308997450138906,0.0,0.0,0.5,0.5
11416-yqhl-xkzdsn-hjhetlbj,7606,0.46,0.46974947078209456,0.9297494707820946,0.5,0.5,0.0,0.0
11417-eovg-tmhqnk-rmxwnotl,500,0.2477777777777778,0.4474136752138244,0.6951914529916022,0.0,0.0,0.5,0.5
11428-vquq-uvidfa-nbclpneo,1800,0.39083333333333337,0.29894998940554257,0.6897833227388759,0.0,0.0,0.5,0.5
11433-ysww-qhcmsl-gnxgvixr,4727,0.23,0.4609371175115584,0.6909371175115584,0.0,0.0,0.5,0.5
11441-adti-lnivmo-wnmcirql,7606,0.0,0.04424625102595975,0.04424625102595975,0.0,0.0,0.5,0.5
11453-koxy-pjpqfq-lscbveqg,800,0.0,0.0979914312095726,0.0979914312095726,0.0,0.0,0.5,0.5
11453-qlup-xcgopu-lzxbsiap,4900,0.46,0.022613644455269033,0.48261364445526905,0.0,0.0,0.5,0.5
11456-lgeb-aluzry-vtjilibt,2700,0.45,0.16266516538163217,0.6126651653816322,0.0,0.0,0.5,0.5
11466-tmqu-onllpz-hsdzlbte,5405,0.4842857142857143,0.194338644844741,0.6786243591304553,0.0,0.0,0.5,0.5
11469-ohzw-tuqljl-zngwlrwq,3200,0.49833333333333335,0.13567451588694796,0.6340078492202813,0.0,0.0,0.5,0.5
11483-hpmb-sbtbzl-avflqqmt,2508,0.0,0.41436875457596467,0.41436875457596467,0.0,0.0,0.5,0.5
11484-opdc-dzjkbg-odzvbund,7610,0.0,0.17837666334679464,0.17837666334679464,0.0,0.0,0.5,0.5
11486-shqq-ozwitg-qhckmkty,6686,0.0,0.14046725484369038,0.14046725484369038,0.0,0.0,0.5,0.5
11500-uaeh-xsyhyy-dfdebori,6617,0.18,0.27134804157912423,0.4513480415791242,0.0,0.0,0.5,0.5
11509-jpdo-slkpwx-zszdgzcz,7722,0.5147058823529411,0.07046211248738132,0.5851679948403224,0.0,0.0,0.5,0.5
11509-nhfo-ajlsmm-bqtrrlfe,6318,0.61,0.40109849037701983,1.01109849037702,0.5,0.5,0.0,0.0
11520-zoys-nmgeiw-gshgfgzt,2369,0.0,0.03727532183988541,0.03727532183988541,0.0,0.0,0.5,0.5
11522-nozh-irskrw-ihelkyph,2208,0.0,0.49344346830025865,0.49344346830025865,0.0,0.0,0.5,0.5
11522-uhok-hafsdu-eivedmbd,7451,0.29,0.3861223846483287,0.6761223846483286,0.0,0.0,0.5,0.5
11522-wiux-jhlwyq-itfuusdg,5460,0.545,0.0993578407670862,0.6443578407670862,0.0,0.0,0.5,0.5
11529-gsfp-dswocu-gnlzjzff,6318,0.0,0.0027610585618011996,0.0027610585618011996,0.0,0.0,0.5,0.5
11531-lqav-czauav-xvvzaflt,6318,0.39230769230769236,0.4077307142274171,0.8000384065351094,0.5,0.5,0.0,0.0
11555-oame-wgvsak-yertovxz,5700,0.257,0.35342867192380856,0.6104286719238086,0.0,0.0,0.5,0.5
11561-veux-enpiup-sskgzeev,7718,0.65,0.36450358402049365,1.0145035840204937,0.5,0.5,0.0,0.0
11579-fodl-iiyqwr-btvqrzja,2700,0.0,0.38563517334297287,0.38563517334297287,0.0,0.0,0.5,0.5
11581-aeof-igpaws-mjyfkbsp,7726,0.0,0.03702232586704518,0.03702232586704518,0.0,0.0,0.5,0.5
11584-engy-xfowzu-swckrtpt,5501,0.46,0.1792328642721363,0.6392328642721363,0.0,0.0,0.5,0.5
11593-lcll-cntdla-dluduteh,3812,0.35,0.05793452976256486,0.40793452976256483,0.0,0.0,0.5,0.5
11600-cgpx-bsnjea-rhrrdzwb,4500,0.3375,0.43155171293779676,0.7690517129377967,0.5,0.5,0.0,0.0
11602-dwwk-zpxvwp-wkomwkhy,100,0.525625,0.31164906341377896,0.837274063413779,0.5,0.5,0.0,0.0
11608-outq-zdueqd-fsufelio,9200,0.56125,0.1654490124263246,0.7266990124263246,0.5,0.5,0.0,0.0
11620-mcro-kifbcy-roznhvtu,6678,0.41736842105263156,0.03177917514301182,0.4491475961956434,0.0,0.0,0.5,0.5
11624-qrsr-deszzp-ymjlhzkm,7703,0.39815340909090907,0.1554911608578311,0.5536445699487402,0.0,0.0,0.5,0.5
11626-jlco-rfgrjm-kvudtkmc,7500,0.0,0.16259166101337352,0.16259166101337352,0.0,0.0,0.5,0.5
11627-miqa-rqgtzu-vjkquyfy,6194,0.36111111111111116,0.36480308916903204,0.7259142002801432,0.5,0.5,0.0,0.0
11628-ibey-hbkepe-vpamwupr,8602,0.0,0.31877873567760656,0.31877873567760656,0.0,0.0,0.5,0.5
11655-akdw-wbxcqv-yisykshn,9103,0.2977777777777778,0.44360637128816327,0.7413841490659411,0.5,0.5,0.0,0.0
11660-khfg-vncomj-rpcqkbar,4600,0.5,0.23610746258097465,0.7361074625809747,0.5,0.5,0.0,0.0
11662-iqkc-adgrwp-bndeimto,7802,0.33028301886792455,0.05979712296915085,0.3900801418370754,0.0,0.0,0.5,0.5
11674-mrbm-mvfmoz-samwsxyo,8606,0.0,0.3566223936114975,0.3566223936114975,0.0,0.0,0.5,0.5
11700-awtt-uloatr-azymyply,3300,0.5511111111111111,0.3803925243084487,0.9315036354195598,0.5,0.5,0.0,0.0
11700-xuum-kqyjsv-usbdqlfz,261,0.46,0.2806385987847481,0.7406385987847481,0.5,0.5,0.0,0.0
11708-goml-jcqpzr-syfcvtsu,5405,0.5342857142857143,0.3854835899772805,0.9197693042629947,0.5,0.5,0.0,0.0
11716-actp-ggbgux-kkgrozdx,2700,0.3422727272727273,0.24689779818219537,0.5891705254549227,0.0,0.0,0.5,0.5
11717-rnys-wozvcb-gzvxkdln,7100,0.46,0.26136641469099703,0.721366414690997,0.5,0.5,0.0,0.0
11752-lrxp-zmpipi-mwtcmwlv,6200,0.503125,0.21377050917927481,0.7168955091792748,0.5,0.5,0.0,0.0
11758-drjy-qouolp-kldedgis,9901,0.0,0.012709563372047594,0.012709563372047594,0.0,0.0,0.5,0.5
11762-iptb-ptfkir-eygrxftb,7300,0.2833333333333333,0.053945713496652226,0.33727904682998555,0.0,0.0,0.5,0.5
11764-xhao-nvpmof-orcxfuhl,500,0.23,0.015714592843367126,0.24571459284336714,0.0,0.0,0.5,0.5
11766-xrsp-nvrmfw-ugrsldzt,5610,0.0,0.3182052056318902,0.3182052056318902,0.0,0.0,0.5,0.5
11785-vqqt-nlpqwd-fvbobhcx,2635,0.3064705882352941,0.15717799053816334,0.46364857877345744,0.0,0.0,0.5,0.5
11786-rsww-ixrjmy-lewrpjzh,277,0.0,0.2542853455823514,0.2542853455823514,0.0,0.0,0.5,0.5
11790-qhra-asjaem-pchjruac,4600,0.56,0.4537832369630465,1.0137832369630466,0.5,0.5,0.0,0.0
11791-ayzd-wxavin-lbxbtdbp,5505,0.07666666666666667,0.12464611457443747,0.20131278124110413,0.0,0.0,0.5,0.5
11804-jxsw-aubkke-cpaudvab,6686,0.0,0.20519146151781487,0.20519146151781487,0.0,0.0,0.5,0.5
11838-jikm-rpppmy-zbehhhtr,7606,0.72,0.37777556927152434,1.0977755692715243,0.5,0.5,0.0,0.0
11841-drwm-kenyad-ftbbjzsy,7727,0.4327831715210356,0.11439908274581123,0.5471822542668469,0.0,0.0,0.5,0.5
11858-jltq-ejjbuw-iviissgl,2502,0.0,0.038489954914396496,0.038489954914396496,0.0,0.0,0.5,0.5
11872-wijf-wywrwy-ckiodmqa,2208,0.33799999999999997,0.144875726456884,0.482875726456884,0.0,0.0,0.5,0.5
11888-ulds-qbxbkg-ivkionjt,2900,0.0,0.08061064362700221,0.08061064362700221,0.0,0.0,0.5,0.5
11895-lvhh-lmgwtt-ttvgsemc,6165,0.0,0.46484882617128653,0.46484882617128653,0.0,0.0,0.5,0.5
11902-xsgv-voqzxn-ucfljyww,5402,0.48736842105263156,0.4040601897822085,0.89142861083484,0.5,0.5,0.0,0.0
11909-mgod-gbnwsk-oianouib,4705,0.0,0.31670187825521173,0.31670187825521173,0.0,0.0,0.5,0.5
11912-jdmg-hwoggk-skhzrczn,5100,0.23,0.43573029509385885,0.6657302950938588,0.0,0.0,0.5,0.5
11916-nrvq-tgoslx-wfeasdvu,6318,0.39875,0.40183603844955723,0.8005860384495572,0.5,0.5,0.0,0.0
11919-fyxo-stvjht-hsmumytc,4800,0.0,0.09328502944301792,0.09328502944301792,0.0,0.0,0.5,0.5
11948-tzhi-aaqnew-ridymjaq,9111,0.328125,0.4462794992449889,0.7744044992449889,0.5,0.5,0.0,0.0
11960-jaty-mcfxrx-emiykovz,6670,0.0,0.26967112095782536,0.26967112095782536,0.0,0.0,0.5,0.5
11963-qpyo-bglkvq-bjdhsvxo,6900,0.31125,0.40372007758203127,0.7149700775820313,0.5,0.5,0.0,0.0
11973-mhat-foukbk-ftbznzva,274,0.0,0.4480456499617466,0.4480456499617466,0.0,0.0,0.5,0.5
11977-batj-zbrwhy-kafysbfz,2100,0.5,0.15900173748593194,0.6590017374859319,0.0,0.0,0.5,0.5
11980-uvyb-dxluqa-yukxwttb,5032,0.31470588235294117,0.05502596226383838,0.36973184461677955,0.0,0.0,0.5,0.5
11995-qyrj-rblfdd-xncuxjwu,1800,0.45333333333333337,0.11396758127097084,0.5673009146043042,0.0,0.0,0.5,0.5
12012-vkgu-fljabj-ayfweyia,6432,0.0,0.21355389431312816,0.21355389431312816,0.0,0.0,0.5,0.5
12016-ghli-qxmxxd-lwieeewr,3457,0.0,0.40900738296124656,0.40900738296124656,0.0,0.0,0.5,0.5
12020-pjkh-xoovpa-emoberbi,1650,0.44,0.4303652916281717,0.8703652916281717,0.5,0.5,0.0,0.0
12025-ityf-gppjoi-bvflegrg,4704,0.64,0.0034760652655953517,0.6434760652655953,0.0,0.0,0.5,0.5
12026-rhoq-mnsoer-udhgpbyp,4212,0.27399999999999997,0.25537365128878287,0.5293736512887828,0.0,0.0,0.5,0.5
12031-eiuv-wapmdb-fhymqhny,2223,0.4116666666666666,0.2087055015743895,0.6203721682410561,0.0,0.0,0.5,0.5
12042-jaac-rhsfvp-dhsddzra,7100,0.4568421052631579,0.11105390523536512,0.567896010498523,0.0,0.0,0.5,0.5
12051-wwvs-pccclz-bblzzusy,1200,0.0,0.0599326836668414,0.0599326836668414,0.0,0.0,0.5,0.5
12054-fklf-gcqnzs-jnswnurn,2645,0.0,0.16880758570181398,0.16880758570181398,0.0,0.0,0.5,0.5
12065-dchb-imgcjy-sruxfjxp,7718,0.4127777777777778,0.4714548519562596,0.8842326297340374,0.5,0.5,0.0,0.0
12065-gdoa-rkgbip-bbonyisv,5100,0.0,0.16160146601037761,0.16160146601037761,0.0,0.0,0.5,0.5
12067-huuv-dkywws-yvkhuwjz,5406,0.435,0.25939531087168305,0.694395310871683,0.0,0.0,0.5,0.5
12105-xgwl-fzjjfb-nriejbox,7743,0.33416666666666667,0.3515094794475889,0.6856761461142555,0.0,0.0,0.5,0.5
12105-yfem-ziiryn-hvqrncgl,7706,0.0,0.181814801189647,0.181814801189647,0.0,0.0,0.5,0.5
12111-vmpb-linodf-nfwujdwx,2463,0.43,0.48589104136048034,0.9158910413604804,0.5,0.5,0.0,0.0
12111-ynmc-wfxoyz-ohozhomh,3700,0.5136363636363637,0.4812236474710556,0.9948600111074193,0.5,0.5,0.0,0.0
12127-yjmy-qrwqvq-ieiqwmef,500,0.395,0.12589114791268208,0.5208911479126821,0.0,0.0,0.5,0.5
12132-eies-niiqvg-kpbtcjex,2646,0.23,0.24862425294619273,0.4786242529461927,0.0,0.0,0.5,0.5
12136-fxgk-hrxivy-sktufwhq,9110,0.41333333333333333,0.15043915490838483,0.5637724882417181,0.0,0.0,0.5,0.5
